차량명,연식,주행거리,가격
KG모빌리티(쌍용) 더 뉴 티볼리 가솔린 터보 1.5 V7 2WD,23년 12월식(24년형),"32,640km","2,050만원"
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,15년 10월식(16년형),"85,156km",770만원
현대 아반떼 AD 1.6 GDI 모던 스페셜,17년 1월식,"53,765km","1,220만원"
기아 더 뉴 K3 2세대 트렌디,22년 5월식,"85,898km","1,420만원"
기아 더 뉴 모닝 스마트,16년 7월식,"9,001km",610만원
르노코리아(삼성) QM3 RE,14년 12월식(15년형),"104,292km",490만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
볼보 XC60 2세대 B6 울트라 브라이트,24년 8월식(25년형),"39,944km","5,280만원"
현대 쏘나타 DN8 하이브리드 프리미엄 플러스,21년 12월식(22년형),"114,235km","1,880만원"
미니 쿠퍼 클럽맨(2세대 F/L) T1,23년 5월식,"26,997km","2,480만원"
쉐보레(GM대우) 말리부 2.4 LTZ,16년 4월식,"78,662km",820만원
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,21년 3월식,"93,074km","2,190만원"
쉐보레(GM대우) 말리부 2.0 디젤 LT 프리미엄팩,14년 12월식(15년형),"92,900km",610만원
기아 더 K9 3.8 GDI AWD 플래티넘Ⅰ,19년 1월식,"110,680km","2,070만원"
지프 체로키(KL) 2.4 리미티드 AWD,20년 6월식,"75,737km","1,770만원"
현대 아반떼 AD 1.6 e-VGT 스마트 세부등급 없음,16년 1월식,"119,685km",890만원
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 유라시아 에디션,19년 4월식,"87,391km","1,570만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 얼티밋에디션,19년 6월식,"36,243km","2,040만원"
기아 K5 2세대 2.0 SX 프레스티지,16년 11월식(17년형),"113,416km","1,190만원"
르노코리아(삼성) SM6 2.0 GDe RE,16년 3월식,"116,324km",610만원
현대 아반떼 AD 1.6 e-VGT 스마트 스페셜,18년 1월식,"112,686km",920만원
기아 올 뉴 카니발 9인승 프레스티지,15년 7월식(16년형),"100,716km","1,250만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 2월식,"114,156km","2,120만원"
벤츠 GLE-클래스 W167 디젤 4WD GLE400d 4MATIC 쿠페,21년 2월식,"33,506km","7,470만원"
기아 모하비 4WD KV300 세부등급 없음,15년 2월식,"92,939km","1,340만원"
현대 더 뉴 아반떼 AD 1.6 스마트 베스트 초이스 패키지,19년 6월식(20년형),"64,218km","1,450만원"
BMW X3 (G01) xDrive 20i M 스포츠,21년 2월식,"46,789km","4,410만원"
BMW 6시리즈 GT (G32) 620d xDrive 럭셔리,19년 9월식,"68,895km","3,810만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 와일드,22년 5월식,"46,308km","1,670만원"
현대 코나 1.6 터보 2WD 모던 아트,18년 4월식,"109,345km","1,370만원"
현대 아반떼 AD 1.6 e-VGT 스마트 스페셜,15년 11월식(16년형),"107,357km",830만원
르노코리아(삼성) SM6 2.0 GDe SE,16년 4월식,"49,553km",790만원
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,16년 2월식,"119,389km","1,290만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 11월식(21년형),"75,508km","1,870만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
르노코리아(삼성) 아르카나 가솔린 1.6 테크노,25년 5월식(26년형),"16,245km","2,040만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,15년 9월식(16년형),"89,947km",750만원
기아 올 뉴 모닝 (JA) 럭셔리,17년 10월식,"31,209km",850만원
제네시스 GV80 가솔린 2.5 2WD (7인승),23년 1월식,"34,923km","5,620만원"
현대 포터2 LPi 2.5 터보 카고 일반캡 초장축 스마트,24년 10월식(25년형),"35,823km","1,690만원"
BMW 4시리즈 (F32) 420i 럭셔리 그란쿠페,17년 9월식(18년형),"89,432km","1,780만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 8월식,"118,067km",970만원
벤츠 E-클래스 W213 E300 익스클루시브,18년 6월식,"58,471km","2,690만원"
기아 K5 2세대 2.0 SX 프레스티지,15년 10월식(16년형),"92,904km",990만원
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,20년 4월식,"105,484km","2,040만원"
기아 K3 트렌디,14년 5월식,"95,633km",580만원
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,19년 12월식(20년형),"95,757km","1,790만원"
BMW 5시리즈 (G30) 530i M 스포츠,21년 5월식,"48,136km","3,930만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 3월식,"117,731km",670만원
기아 쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20년 4월식(21년형),"124,190km","2,210만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 5인승,22년 3월식,"96,416km","3,480만원"
현대 더 뉴 그랜드 스타렉스 어린이보호차 LPi 2WD 12인승,20년 3월식,"36,291km","2,030만원"
기아 올 뉴 K3 프레스티지,18년 4월식(19년형),"96,811km","1,190만원"
현대 팰리세이드 디젤 2.2 4WD 캘리그래피 (7인승),20년 7월식(21년형),"68,205km","3,260만원"
기아 올 뉴 K3 프레스티지,20년 4월식,"40,205km","1,310만원"
기아 쏘울 부스터 1.6 T-GDI 노블레스 스폐셜,19년 9월식,"103,387km","1,380만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 4월식,"118,397km","1,060만원"
현대 베뉴 1.6 모던,20년 7월식,"17,031km","1,420만원"
현대 베뉴 1.6 플럭스,20년 2월식,"52,632km","1,490만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,21년 7월식,"66,034km","2,130만원"
기아 더 뉴 기아 레이 밴 (2인승) 프레스티지 스페셜,25년 4월식,"9,185km","1,530만원"
기아 레이 럭셔리,12년 6월식(13년형),"60,296km",730만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 1월식,"30,874km","2,390만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20년 5월식(21년형),"106,088km","2,120만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,22년 3월식(23년형),"12,493km","1,690만원"
지프 그랜드 체로키 3.6 서밋,20년 8월식,"93,459km","2,420만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,20년 7월식,"28,977km","2,520만원"
르노코리아(삼성) SM6 2.0 GDe RE,17년 11월식,"114,614km",870만원
현대 LF 쏘나타 2.0 케어플러스,16년 5월식(17년형),"103,573km",950만원
KG모빌리티(쌍용) 티볼리 아머 VX 2WD,18년 8월식,"70,368km",920만원
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 4월식,"36,086km","2,680만원"
기아 더 뉴 카니발 가솔린 9인승 노블레스 스페셜,18년 8월식(19년형),"98,640km","1,730만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄,22년 2월식,"107,426km","1,950만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 11월식(15년형),"50,537km",740만원
제네시스 GV70 가솔린 터보 3.5 스포츠 AWD,21년 3월식,"62,309km","4,050만원"
기아 더 뉴 니로 노블레스 스폐셜,21년 4월식,"105,581km","1,780만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,21년 2월식,"83,842km","2,920만원"
르노코리아(삼성) 더 뉴 QM6 F/L LPG 2.0 (일반판매용) LE,23년 4월식(24년형),"75,706km","1,820만원"
르노코리아(삼성) 캡처 가솔린 1.3 에디션 파리,20년 10월식,"115,290km","1,240만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 3월식,"137,830km","1,420만원"
현대 포터2 CRDi 카고 초장축 슈퍼캡 모던,20년 8월식,"22,139km","1,530만원"
기아 K8 하이브리드 노블레스,21년 10월식(22년형),"97,846km","2,750만원"
르노코리아(삼성) SM6 2.0 GDe RE,17년 5월식,"98,734km",850만원
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 6월식,"105,597km","1,290만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 노블레스,22년 4월식,"71,870km","2,600만원"
현대 쏘나타 뉴 라이즈 2.0 스타일,17년 10월식(18년형),"60,431km","1,240만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 9월식(21년형),"89,198km","1,380만원"
기아 올 뉴 카렌스 2.0 LPi 프레스티지,13년 7월식(14년형),"126,553km",870만원
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 캘리그래피,23년 11월식,"36,604km","3,390만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 모닝 디럭스 스페셜,11년 11월식(12년형),"69,935km",440만원
기아 레이 프레스티지,16년 8월식,"51,853km",920만원
르노코리아(삼성) QM3 RE,15년 11월식,"80,599km",650만원
기아 셀토스 가솔린 터보 1.6 4WD 노블레스,19년 11월식(20년형),"73,249km","1,800만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.5 A3,22년 4월식,"96,078km","1,390만원"
현대 넥쏘 프리미엄,23년 9월식(24년형),"86,164km","2,050만원"
현대 쏘나타 DN8 2.0 LPi 프리미엄 밀레니얼,21년 1월식,"75,292km","2,090만원"
기아 K3 노블레스,14년 12월식(15년형),"89,972km",690만원
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,21년 11월식(22년형),"42,292km","3,750만원"
KG모빌리티(쌍용) 티볼리 아머 기어 Ⅱ 2WD 스타일링 기어,18년 7월식,"103,624km","1,020만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 마제스티 스페셜,20년 3월식,"71,960km","1,970만원"
벤츠 E-클래스 W213 E300 아방가르드,18년 2월식,"107,722km","2,250만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),22년 6월식,"20,377km","3,170만원"
현대 캐스퍼 가솔린 1.0 디 에센셜,23년 4월식,"10,132km","1,630만원"
기아 스포티지 더 볼드 디젤 2.0 2WD 럭셔리,18년 12월식(19년형),"72,693km","1,470만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,15년 4월식,"107,256km","1,100만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 6월식(22년형),"22,471km","3,190만원"
기아 올 뉴 카니발 9인승 럭셔리,17년 1월식,"112,020km","1,120만원"
미니 쿠퍼 컨트리맨 (2세대 F/L) JCW ALL4,24년 4월식,"30,111km","3,850만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,21년 3월식,"89,603km","2,590만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,22년 2월식,"61,858km","4,240만원"
현대 쏘나타 뉴 라이즈 2.0 모던,19년 3월식,"92,813km","1,390만원"
기아 K3 럭셔리,15년 7월식,"103,190km",620만원
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 5월식,"54,604km","1,360만원"
KG모빌리티(쌍용) 티볼리 아머 기어 에디션 2WD,17년 11월식(18년형),"114,419km",890만원
미니 쿠퍼 컨트리맨 (2세대 F/L) S ALL4 클래식,22년 11월식(23년형),"56,899km","3,130만원"
현대 쏘나타 디 엣지 2.0 LPi (일반판매용) 프리미엄,24년 8월식,"27,642km","2,580만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD 프리미어,22년 3월식,"51,023km","1,670만원"
쉐보레(GM대우) 스파크 스파크 S LT,14년 11월식,"22,990km",480만원
기아 K5 3세대 가솔린 터보 1.6 노블레스,21년 1월식,"92,467km","1,950만원"
르노코리아(삼성) 아르카나 가솔린 1.6 아이코닉,24년 6월식(25년형),"3,113km","2,200만원"
기아 셀토스 가솔린 터보 1.6 2WD 그래비티,21년 6월식(22년형),"51,793km","2,290만원"
르노코리아(삼성) SM6 2.0 LPe RE (장애인용),19년 4월식,"83,080km","1,070만원"
현대 포터2 CRDi 특장 냉동탑차 (저상) 초장축 슈퍼캡 (트윈컴프) 스타일,23년 7월식,"44,061km","2,290만원"
현대 베뉴 1.6 모던,20년 6월식,"83,536km","1,430만원"
미니 쿠퍼 컨트리맨 (2세대) 기본형,21년 1월식,"101,334km","1,910만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 프레스티지,21년 4월식,"77,895km","2,540만원"
현대 아반떼 AD 1.6 GDI 스마트 스페셜,15년 10월식(16년형),"81,961km","1,120만원"
현대 벨로스터 (JS) 1.6 터보 스포츠 코어,20년 7월식,"101,680km","1,260만원"
제네시스 G90 가솔린 4WD 3.8 프리미엄 럭셔리,21년 9월식,"64,100km","4,490만원"
기아 더 뉴 K5 프레스티지,15년 6월식,"95,222km",920만원
현대 에쿠스(신형) VS380 모던,14년 3월식(15년형),"100,565km","1,150만원"
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 프리미에르,20년 6월식,"69,255km","1,720만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,20년 7월식,"17,814km","2,450만원"
현대 아반떼 AD 1.6 GDI 스마트 스페셜,17년 3월식,"125,960km",850만원
현대 캐스퍼 가솔린 1.0 스마트,23년 3월식,"15,722km","1,320만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,20년 5월식(21년형),"98,062km","2,640만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,16년 9월식(17년형),"103,219km","1,540만원"
KG모빌리티(쌍용) 티볼리 VX 2WD,17년 5월식,"63,627km",910만원
KG모빌리티(쌍용) 티볼리 아머 기어 플러스 2WD,18년 9월식(19년형),"60,488km","1,090만원"
벤츠 CLE-클래스 C236 가솔린 3.0 CLE450 4MATIC 쿠페,24년 12월식,"13,681km","7,400만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 4월식,"42,211km","2,870만원"
BMW 5시리즈 (G30) 520d xDrive M 스포츠 플러스,17년 6월식,"102,490km","2,540만원"
기아 올 뉴 프라이드 1.6 GDI 세단 럭셔리,14년 12월식,"75,775km",550만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 투싼 (4세대) 1.6 터보 프리미엄,21년 8월식(22년형),"26,070km","2,570만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,22년 3월식,"61,892km","2,720만원"
기아 K8 가솔린 2.5 시그니처,21년 9월식(22년형),"84,975km","2,590만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 프레스티지,22년 4월식,"39,698km","2,690만원"
기아 스팅어 2.0 터보 AWD 플래티넘,17년 11월식(18년형),"98,100km","1,970만원"
르노코리아(삼성) 뉴 QM6 가솔린 2.0 2WD 프리미에르,21년 3월식,"89,098km","1,800만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,19년 5월식,"68,306km","2,080만원"
현대 올 뉴 투싼 디젤 2.0 2WD 모던,16년 1월식,"76,325km","1,450만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"69,305km","2,420만원"
기아 올 뉴 모닝 (JA) 럭셔리,18년 1월식,"43,940km",890만원
르노코리아(삼성) QM6 디젤 4WD RE 시그니처,17년 8월식,"127,939km","1,020만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 5월식,"45,466km",660만원
르노코리아(삼성) QM3 RE 시그니처,15년 7월식,"46,612km",760만원
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe LE,20년 4월식,"93,860km","1,360만원"
